file_name,verified_transcript
DISP-2026-00753D.wav,coquitlam ladder 1 respond emergency medical aid - breathing problems 3367 carmelo avenue use talk group combined response coquitlam map grid 110
DISP-2026-009F8E.wav,coquitlam engine 1 respond emergency rubbish fire christmas way and westwood street near christmas way and westwood street use talk group 5 coquitlam map grid 68
DISP-2026-00D76E.wav,coquitlam ladder 1 respond emergency medical aid - fall 1386 coast meridian road near millard avenue and queenston avenue use talk group 10 combined response coquitlam map grid 109
DISP-2026-014B79.wav,coquitlam engine 1 rescue 2 respond emergency motor vehicle incident david avenue and pinetree way near david avenue and pinetree way use talk group 10 combined response coquitlam map grid 87
DISP-2026-01DCBC.wav,coquitlam medic 1 respond routine lift assist 1142 dufferin street number 128 parkwood manor use talk group 10 combined response coquitlam map grid 81
DISP-2026-044D8A.wav,coquitlam engine 1 respond emergency medical aid 2739 barnet highway value village barnet near turning lane and access road use talk group 10 combined response coquitlam map grid 69
DISP-2026-053067.wav,coquitlam engine 1 respond emergency medical aid chest pain 3128 ladder drive near pipeline road and tori avenue use talk group 10 combined response coquitlam map grid 97
DISP-2026-057F7B.wav,coquitlam medic 1 respond emergency medical aid - allergic reaction 3030 gordon avenue rain city housing near christmas way and westwood street use talk group 10 combined response coquitlam map grid 68
DISP-2026-05EF89.wav,coquitlam engine 1 respond emergency medical aid - chest pain 2990 princess crescent number 105 use talk group 10 combined response coquitlam map grid 85
DISP-2026-070BC2.wav,coquitlam engine 1 respond emergency medical aid - fall 2615 harrier drive near kestrel court and condor crescent use talk group 10 combined response coquitlam map grid 70
DISP-2026-076799.wav,coquitlam ladder 1 rescue 2 respond emergency alarm activated 1121 king albert avenue como lake middle near marmont street and gatensbury street use talk group 6 coquitlam map grid 18
DISP-2026-0790E8.wav,coquitlam engine 1 respond emergency alarm activated 3000 riverband drive number 308 use talk group 5 coquitlam map grid 61
DISP-2026-07D512.wav,coquitlam ladder 1 respond routine rescue 2968 glen drive near pacific street and the high street use talk group 6 coquitlam map grid 82
DISP-2026-08AF4C.wav,coquitlam engine 1 engine 4 rescue 2 respond emergency alarm activated - high risk 1131 dufferin street dufferin care centre use talk group 5 coquitlam map grid 81
DISP-2026-08E5F7.wav,coquitlam ladder 1 respond emergency medical aid - fall 2929 barnet highway coquitlam center mall near mall access and turning lane use talk group 10 combined response coquitlam map grid 82
DISP-2026-08FBA9.wav,coquitlam engine 1 respond emergency medical aid - airway obstruction 1262 river drive near flynn crescent and brian drive use talk group 10 combined response coquitlam map grid 101
DISP-2026-090E14.wav,coquitlam medic 1 respond emergency medical aid collapse 3025 lougheed highway near turning lane use talk group 10 combined response coquitlam map grid 82
DISP-2026-0946AF.wav,coquitlam engine 1 respond emergency medical aid - seizure 1159 eagleridge drive near guildford way and sparrow crt use talk group 10 combined response coquitlam map grid 70
DISP-2026-0C0358.wav,coquitlam engine 2 rescue 2 ladder 1 car 7 respond emergency structure fire - detached structure 2736 atlin place number 38 use talk group 6 coquitlam map grid 54
DISP-2026-0D5F70.wav,coquitlam engine 1 engine 4 rescue 2 respond emergency alarm activated - high risk 2968 burlington drive near pacific st and the high st use talk group 5 coquitlam map grid 83
DISP-2026-0E2AFF.wav,coquitlam engine 1 engine 2 rescue 2 quint 5 respond emergency report of smoke 2922 glen drive near johnson street and pacific street use talk group 5 coquitlam map grid 82
DISP-2026-0F9A49.wav,coquitlam engine 1 respond routine assist 1300 pinetree way near david ave avenue and pinewood ave map grid 86
